X,Y,Date,County
-97.431132,32.706202,2/13/14,TARRANT
-97.429859,32.866961,3/6/14,TARRANT
-97.429592,32.865793,3/18/14,TARRANT
-97.429565,32.816647,12/12/14,TARRANT
-97.429565,32.816647,12/12/14,TARRANT
-97.428499,32.824441,1/29/14,TARRANT
-97.428499,32.824441,1/29/14,TARRANT
-97.428499,32.824441,1/29/14,TARRANT
-97.428241,32.737762,8/15/14,TARRANT
-97.428241,32.737762,8/15/14,TARRANT
-97.428241,32.737762,2/25/14,TARRANT
-97.427524,32.692489,1/16/14,TARRANT
-97.427165,32.801323,9/11/14,TARRANT
-97.427165,32.801323,9/11/14,TARRANT
-97.427114,32.666632,5/5/14,TARRANT
-97.426584,32.97461,1/21/14,TARRANT
-97.426563,32.649744,5/9/14,TARRANT
-97.426342,32.718517,5/22/14,TARRANT
-97.425761,32.827243,5/30/14,TARRANT
-97.42506,32.736639,5/7/14,TARRANT
-97.424953,32.975404,5/9/14,TARRANT
-97.424911,32.80188,6/17/14,TARRANT
-97.424911,32.80188,1/25/14,TARRANT
-97.4246,32.736347,3/28/14,TARRANT
-97.4246,32.736347,3/28/14,TARRANT
-97.424532,32.646373,1/8/14,TARRANT
-97.424403,32.822008,6/23/14,TARRANT
-97.424288,32.735624,6/20/14,TARRANT
-97.424268,32.735561,10/10/14,TARRANT
-97.424268,32.735561,2/3/14,TARRANT
-97.424268,32.735561,4/17/14,TARRANT
-97.424129,32.922496,11/18/14,TARRANT
-97.423151,32.694487,1/23/14,TARRANT
-97.423081,32.764493,5/14/14,TARRANT
-97.422725,32.737788,12/23/14,TARRANT
-97.422319,32.838621,1/30/14,TARRANT
-97.422162,32.657289,1/2/14,TARRANT
-97.422142,32.82348,5/9/14,TARRANT
-97.422142,32.82348,5/9/14,TARRANT
-97.422061,32.849446,5/6/14,TARRANT
-97.422061,32.849446,5/6/14,TARRANT
-97.421823,32.67023,3/28/14,TARRANT
-97.421205,32.695422,1/21/14,TARRANT
-97.421084,32.802966,1/15/14,TARRANT
-97.421084,32.802966,1/15/14,TARRANT
